Weekly Expenditure
Expenditure Category,Groceries
Amount,100

Weekly Expenditure
Expenditure Category,Groceries
Amount,100

Weekly Expenditure
Expenditure Category,Takeaways
Amount,35

Weekly Expenditure
Expenditure Category,Entertainment
Amount,45

Weekly Expenditure
Expenditure Category,Phone
Amount,8.75

Weekly Expenditure
Expenditure Category,Power
Amount,22.75

Weekly Expenditure
Expenditure Category,Music
Amount,2.25

Weekly Expenditure
Expenditure Category,Fuel
Amount,5

Weekly Expenditure
Expenditure Category,Medical
Amount,2.5

Weekly Expenditure
Expenditure Category,Savings
Amount,30

Weekly Expenditure
Expenditure Category,Rent
Amount,235

Weekly Expenditure
Expenditure Category,Gym
Amount,15

Weekly Income
Income Category,Student Living Payments
Amount,281.7

Weekly Income
Income Category,Jobless Income
Amount,200

Weekly Income
Income Category,Job income
Amount,0

Weekly Income
Income Category,Debt Repayments
Amount,0

